Email,CreatedAt,SKU,Quantity
belita.jagels@gmail.com,1/1/2024 21:00,XPB-3348-ZC,7
belita.jagels@gmail.com,1/1/2024 21:00,XVH-8524-KB,5
belita.jagels@gmail.com,1/1/2024 21:00,KSV-8906-B,4
wylma.halwill@hotmail.com,1/1/2024 21:00,TYZ-9168-W,5
wylma.halwill@hotmail.com,1/1/2024 21:00,ERC-7179-P,4
colette.harron@juno.com,1/1/2024 21:00,WNF-2527-V,3
lauralee.gabby@wanadoo.fr,1/1/2024 21:00,NAS-8907-JE,5
lauralee.gabby@wanadoo.fr,1/1/2024 21:00,XOQ-1592-SM,3
dylan.pedrocchi@yahoo.fr,1/1/2024 21:00,RZH-7025-T,7
dylan.pedrocchi@yahoo.fr,1/1/2024 21:00,XOQ-1592-SM,1
dylan.pedrocchi@yahoo.fr,1/1/2024 21:00,KXX-3245-WN,4
othilie.farguhar@gmail.com,1/1/2024 21:00,DYP-5541-QT,3
othilie.farguhar@gmail.com,1/1/2024 21:00,XPB-3348-ZC,1
othilie.farguhar@gmail.com,1/1/2024 21:00,MQQ-2316-X,5
alyssa.gurnell@hotmail.com,1/1/2024 21:00,BNK-0858-X,2
alyssa.gurnell@hotmail.com,1/1/2024 21:00,DYP-5541-QT,10
alyssa.gurnell@hotmail.com,1/1/2024 21:00,MQQ-2316-X,2
lizzie.rope@hotmail.com,1/1/2024 21:00,EHX-4023-MK,2
masha.pietruszka@outlook.com,1/1/2024 21:00,ERC-7179-P,1
masha.pietruszka@outlook.com,1/1/2024 21:00,DYP-5541-QT,7
masha.pietruszka@outlook.com,1/1/2024 21:00,XVH-8524-KB,3
belita.jagels@gmail.com,1/1/2024 23:00,EHX-4023-MK,3
belita.jagels@gmail.com,1/1/2024 23:00,NAS-8907-JE,5
belita.jagels@gmail.com,1/1/2024 23:00,XOQ-1592-SM,3
giulia.davys@optusnet.com.au,1/3/2024 17:41,SFK-1659-VV,8
rickey.yegorshin@msn.com,1/4/2024 9:54,TYZ-9168-W,5
eustacia.onowlan@yahoo.com,1/5/2024 0:02,MQQ-2316-X,1
eustacia.onowlan@yahoo.com,1/5/2024 0:02,XPB-3348-ZC,6
giulia.davys@optusnet.com.au,1/5/2024 12:10,XOQ-1592-SM,3
iorgos.kitching@yahoo.com,1/6/2024 7:59,SFK-1659-VV,5
iorgos.kitching@yahoo.com,1/6/2024 7:59,WNF-2527-V,5
iorgos.kitching@yahoo.com,1/6/2024 7:59,KSV-8906-B,6
wang.ditzel@hotmail.fr,1/7/2024 13:17,RZH-7025-T,7
wang.ditzel@hotmail.fr,1/7/2024 13:17,IGD-7657-A,3
waldemar.lorriman@hotmail.com,1/7/2024 15:25,DYP-5541-QT,7
tildy.stopper@yahoo.com,1/7/2024 23:27,MSO-1685-X,7
