Email,SKU,Rating,Comment
masha.pietruszka@outlook.com,MSO-1685-X,2,The serum is lightweight and absorbs quickly into my skin.
gustav.colecrough@yahoo.com,WNF-2527-V,4,The cleanser has a lovely scent and perfectly balances my oily skin.
townie.letham@yahoo.co.in,HQX-3039-RG,1,The facial cleanser leaves my skin feeling clean without drying it out.
wylma.halwill@hotmail.com,LPM-3141-M,4,The cleanser has a lovely scent and perfectly balances my oily skin.
ker.prichard@gmail.com,NTN-0344-IY,5,I noticed a significant decrease in hair fall since using this hair mask.
lauralee.gabby@wanadoo.fr,WNL-9232-CT,4,This sunscreen does not leave any white cast and feels non-greasy.
ker.prichard@gmail.com,TAC-5245-EZ,3,The body lotion has a pleasant scent and keeps my skin moisturized all day.
kali.handslip@aim.com,ZTS-4029-MW,4,The body lotion has a pleasant scent and keeps my skin moisturized all day.
chiquita.hinckley@hotmail.fr,NAS-8907-JE,1,The facial cleanser leaves my skin feeling clean without drying it out.
nyssa.scowen@yahoo.com,WNF-2527-V,4,I enjoy the tingling sensation of this peppermint scalp treatment.
colette.harron@juno.com,WNL-9232-CT,2,The anti-aging serum has reduced fine lines around my eyes.
fanya.mcgowing@wanadoo.fr,ZTS-4029-MW,3,I noticed a significant decrease in hair fall since using this hair mask.
danit.luciani@gmail.com,IGD-7657-A,4,This conditioner made my curls more defined and bouncy.
norene.follit@gmail.com,XOQ-1592-SM,5,I enjoy the tingling sensation of this peppermint scalp treatment.
annnora.vink@gmail.com,SJF-6950-D,4,I love the calming effect this lavender moisturizer has before bed.
broddy.lean@yahoo.com,ERC-7179-P,4,This leave-in conditioner revitalizes my dry hair instantly.
lizzie.rope@hotmail.com,STV-9652-KV,4,My skin feels firmer and more elastic thanks to this night cream.
gal.crosthwaite@gmail.com,VNE-9554-NO,4,This leave-in conditioner revitalizes my dry hair instantly.
norene.follit@gmail.com,ETS-2684-QF,2,I enjoy the tingling sensation of this peppermint scalp treatment.
helli.hilling@gmail.com,TYZ-9168-W,3,The facial cleanser leaves my skin feeling clean without drying it out.
katuscha.harkins@terra.com.br,UUX-2269-TW,1,This leave-in conditioner revitalizes my dry hair instantly.
ophelie.deveral@yahoo.com,XOQ-1592-SM,5,I enjoy the tingling sensation of this peppermint scalp treatment.
ophelie.deveral@yahoo.com,SJF-6950-D,4,I enjoy the tingling sensation of this peppermint scalp treatment.
townie.letham@yahoo.co.in,XPB-3348-ZC,2,The facial cleanser leaves my skin feeling clean without drying it out.
collete.cruz@hotmail.com,MQQ-2316-X,3,I appreciate that this product is vegan and cruelty-free.
nyssa.scowen@yahoo.com,ZTS-4029-MW,4,I’ve seen noticeable improvement in my acne scars with this cream.
rosabelle.maccorkell@gmail.com,ZBB-3080-B,4,The hair oil made my hair softer and more manageable.
nerti.melsome@yahoo.com,EHX-4023-MK,3,This hair gel provides strong hold without leaving flakes.
